Date,Power (kW),Temperature (ºC),Humidity (%),Pressure (mbar),solarRad_W/m2,Power-1,Power deriv,Hour,Week Day,Month,Cos Hour,Day/Night
2019-01-04 14:00:00,326.669,11.930833333333334,64.94083333333333,1030.0,333.8666666666667,325.577,-14.744000000000028,14,4,1,286.6025403784439,400
2019-01-04 15:00:00,335.033,12.806666666666668,60.961666666666666,1030.0,238.025,326.669,1.0919999999999845,15,4,1,270.71067811865476,400
2019-01-04 16:00:00,354.929,12.620833333333332,61.105,1030.0,103.69416666666666,335.033,8.364000000000033,16,4,1,250.00000000000006,400
2019-01-04 17:00:00,341.378,12.311666666666667,62.028333333333336,1031.0,10.259666666666666,354.929,19.895999999999958,17,4,1,225.88190451025207,400
2019-01-04 18:00:00,297.748,12.2375,62.95166666666666,1031.0833333333333,3.05825,341.378,-13.550999999999988,18,4,1,200.00000000000003,100
2019-01-04 19:00:00,229.831,11.891666666666667,62.6225,1032.0,3.485,297.748,-43.629999999999995,19,4,1,174.118095489748,100
2019-01-04 20:00:00,171.325,11.576666666666666,62.245000000000005,1032.3333333333333,3.0049166666666665,229.831,-67.917,20,4,1,150.0,100
2019-01-04 21:00:00,141.75,11.236666666666666,62.4775,1033.0,2.4071666666666665,171.325,-58.506,21,4,1,129.28932188134524,100
2019-01-04 22:00:00,123.654,11.008333333333333,63.545,1033.0,3.076416666666667,141.75,-29.57499999999999,22,4,1,113.39745962155617,100
2019-01-04 23:00:00,113.21,10.881666666666668,64.38833333333334,1033.0,4.089666666666667,123.654,-18.096000000000004,23,4,1,103.40741737109319,100
2019-01-05 00:00:00,107.28,10.2875,67.19666666666667,1033.0,3.951083333333333,113.21,-10.444000000000003,0,5,1,100.0,100
2019-01-05 01:00:00,109.051,9.729166666666666,69.33083333333333,1033.0,3.914,107.28,-5.929999999999993,1,5,1,103.40741737109317,100
2019-01-05 02:00:00,105.39,9.294166666666667,71.13833333333334,1033.5,5.913916666666666,109.051,1.7710000000000008,2,5,1,113.39745962155612,100
2019-01-05 03:00:00,106.187,8.623333333333333,74.10000000000001,1033.5,3.254833333333333,105.39,-3.6610000000000014,3,5,1,129.28932188134524,100
2019-01-05 04:00:00,104.936,7.71,79.25,1033.0,4.725333333333333,106.187,0.796999999999997,4,5,1,150.0,100
2019-01-05 05:00:00,101.995,7.521666666666666,78.01666666666667,1033.0,3.867083333333333,104.936,-1.2509999999999906,5,5,1,174.11809548974793,100
2019-01-05 06:00:00,105.06,7.439166666666666,75.75,1033.0833333333333,5.096916666666667,101.995,-2.9410000000000025,6,5,1,200.0,100
2019-01-05 07:00:00,103.624,7.427499999999999,74.61666666666666,1034.0,5.235166666666667,105.06,3.0649999999999977,7,5,1,225.88190451025207,100
2019-01-05 08:00:00,116.373,7.4375,74.71666666666667,1034.3333333333333,61.59166666666667,103.624,-1.436000000000007,8,5,1,249.99999999999997,100
2019-01-05 09:00:00,138.51,8.131666666666666,69.83749999999999,1035.1666666666667,209.4416666666667,116.373,12.74900000000001,9,5,1,270.71067811865476,400
2019-01-05 10:00:00,249.364,8.887500000000001,68.1675,1035.5,347.4666666666667,138.51,22.136999999999986,10,5,1,286.6025403784439,400
2019-01-05 11:00:00,173.418,9.395833333333334,65.24166666666666,1034.9166666666667,445.9,249.364,110.85400000000001,11,5,1,296.5925826289068,400
2019-01-05 12:00:00,196.38,11.0225,60.09666666666666,1034.0,487.2833333333333,173.418,-75.946,12,5,1,300.0,400
2019-01-05 13:00:00,191.382,12.494166666666668,55.0025,1033.5833333333333,473.0,196.38,22.96199999999999,13,5,1,296.5925826289068,400
2019-01-05 14:00:00,180.109,13.313333333333333,49.9875,1033.0,401.425,191.382,-4.9979999999999905,14,5,1,286.6025403784439,400
2019-01-05 15:00:00,185.278,13.4675,49.11666666666667,1033.0,279.19166666666666,180.109,-11.272999999999996,15,5,1,270.71067811865476,400
2019-01-05 16:00:00,184.627,13.315833333333332,49.528333333333336,1033.0,128.12833333333333,185.278,5.168999999999983,16,5,1,250.00000000000006,400
2019-01-05 17:00:00,190.753,12.171666666666669,53.66,1033.6666666666667,10.0215,184.627,-0.650999999999982,17,5,1,225.88190451025207,400
2019-01-05 18:00:00,195.251,11.685833333333331,58.26166666666666,1034.0,4.103583333333334,190.753,6.125999999999976,18,5,1,200.00000000000003,100
2019-01-05 19:00:00,146.042,11.729166666666666,52.53833333333333,1034.0,1.3456666666666666,195.251,4.498000000000019,19,5,1,174.118095489748,100
2019-01-05 20:00:00,129.314,11.134166666666667,49.946666666666665,1034.0,1.3916666666666666,146.042,-49.209,20,5,1,150.0,100
2019-01-05 21:00:00,124.963,10.821666666666667,48.78416666666666,1034.0,1.3316666666666668,129.314,-16.72800000000001,21,5,1,129.28932188134524,100
2019-01-05 22:00:00,104.955,10.7525,52.88,1034.0,1.428583333333333,124.963,-4.350999999999999,22,5,1,113.39745962155617,100
2019-01-05 23:00:00,105.516,10.406666666666666,58.17583333333334,1033.25,1.887916666666667,104.955,-20.007999999999996,23,5,1,103.40741737109319,100
2019-01-07 01:00:00,95.956,10.075833333333334,45.88833333333333,1030.0,1.3804166666666664,101.235,101.235,1,0,1,103.40741737109317,100
