Date,Power (kW),Temperature (ºC),Humidity (%),Pressure (mbar),Radiance (W/m^2),Power-1,Power deriv,Hour,Week Day,Month,Cos Hour,Day/Night
2017-06-12 13:00:00,433.607569,29.58333333333333,30.596666666666664,1012.5833333333334,930.8333333333334,451.5448895,24.353136000000006,13,0,6,296.5925826289068,400
2017-06-12 14:00:00,461.089625,30.23583333333333,29.5625,1012.0,861.4166666666666,433.607569,-17.9373205,14,0,6,286.6025403784439,400
2017-06-12 15:00:00,537.7995125,30.041666666666668,29.543333333333333,1011.1666666666666,744.1166666666667,461.089625,27.482056,15,0,6,270.71067811865476,400
2017-06-12 16:00:00,514.32715,29.546666666666667,29.861666666666665,1011.0,587.6166666666667,537.7995125,76.70988749999998,16,0,6,250.00000000000006,400
2017-06-12 17:00:00,456.594206,26.757500000000004,38.415,1010.9166666666666,375.7833333333333,514.32715,-23.47236250000003,17,0,6,225.88190451025207,400
2017-06-12 18:00:00,426.020375,23.666666666666668,44.6,1010.0,127.00833333333333,456.594206,-57.732943999999975,18,0,6,200.00000000000003,100
2017-06-12 19:00:00,180.6494635,22.15833333333333,44.81,1010.1666666666666,33.14783333333333,426.020375,-30.573830999999984,19,0,6,174.118095489748,100
2017-06-12 20:00:00,136.398625,21.2225,42.455000000000005,1010.75,1.4391666666666667,180.6494635,-245.3709115,20,0,6,150.0,100
2017-06-12 21:00:00,106.3498495,20.7025,43.92666666666667,1011.3333333333334,0.8811666666666667,136.398625,-44.250838499999986,21,0,6,129.28932188134524,100
2017-06-12 22:00:00,95.713925,21.311666666666667,41.7025,1012.0,0.9109166666666666,106.3498495,-30.048775500000005,22,0,6,113.39745962155617,100
2017-06-12 23:00:00,101.384437,21.2075,42.54833333333333,1011.3333333333334,0.9295,95.713925,-10.635924500000002,23,0,6,103.40741737109319,100
2017-06-13 00:00:00,96.906935,20.406666666666663,49.7275,1011.0,1.0540833333333337,101.384437,5.670512000000002,0,1,6,100.0,100
2017-06-13 01:00:00,96.4059145,20.141666666666666,50.88833333333333,1010.5833333333334,1.1255833333333334,96.906935,-4.477502000000001,1,1,6,103.40741737109317,100
2017-06-13 02:00:00,97.8156765,19.634615384615383,55.34307692307693,1011.0,1.699153846153846,96.4059145,-0.5010205000000099,2,1,6,113.39745962155612,100
2017-06-13 03:00:00,97.962727,17.489166666666666,69.55833333333334,1011.0,1.8755,97.8156765,1.4097620000000006,3,1,6,129.28932188134524,100
2017-06-13 04:00:00,91.6644645,16.6675,76.29166666666667,1011.0,2.10625,97.962727,0.14705050000000597,4,1,6,150.0,100
2017-06-13 05:00:00,101.6866225,17.075,74.97500000000001,1011.5,14.714166666666666,91.6644645,-6.298262500000007,5,1,6,174.11809548974793,100
2017-06-13 06:00:00,96.8245605,18.651666666666667,69.48916666666666,1012.0,153.4375,101.6866225,10.022158000000005,6,1,6,200.0,100
2017-06-13 07:00:00,103.308985,19.916666666666668,63.97166666666666,1012.0,291.675,96.8245605,-4.8620619999999946,7,1,6,225.88190451025207,100
2017-06-13 08:00:00,101.4969645,21.71166666666667,57.26583333333334,1012.0,470.14166666666665,103.308985,6.484424500000003,8,1,6,249.99999999999997,100
2017-06-13 09:00:00,114.2403215,22.305,55.45166666666666,1011.9166666666666,688.5166666666668,101.4969645,-1.8120205000000027,9,1,6,270.71067811865476,400
2017-06-13 10:00:00,494.6003145,26.02333333333333,38.42083333333333,1012.0,834.5833333333334,114.2403215,12.743356999999989,10,1,6,286.6025403784439,400
2017-06-13 11:00:00,291.1567125,28.325833333333332,30.0725,1012.0,879.4833333333332,494.6003145,380.35999300000003,11,1,6,296.5925826289068,400
2017-06-13 12:00:00,290.2918895,28.825,29.493333333333336,1011.25,688.4416666666666,291.1567125,-203.443602,12,1,6,300.0,400
2017-06-13 13:00:00,307.5254215,30.206666666666667,27.956666666666667,1011.0,870.6083333333332,290.2918895,-0.8648230000000012,13,1,6,296.5925826289068,400
2017-06-13 14:00:00,314.4907645,26.566666666666663,35.775,1011.0,848.5,307.5254215,17.23353199999997,14,1,6,286.6025403784439,400
2017-06-13 15:00:00,308.4518615,25.794166666666666,38.115,1011.0,732.9416666666666,314.4907645,6.9653430000000185,15,1,6,270.71067811865476,400
2017-06-13 16:00:00,305.364675,24.9425,40.281666666666666,1011.0,576.6416666666667,308.4518615,-6.038903000000005,16,1,6,250.00000000000006,400
2017-06-13 17:00:00,276.5722745,22.424166666666665,46.932500000000005,1011.0,392.73333333333335,305.364675,-3.08718650000003,17,1,6,225.88190451025207,400
2017-06-13 18:00:00,129.41755,22.79083333333333,50.25833333333333,1011.0,202.14166666666665,276.5722745,-28.792400499999985,18,1,6,200.00000000000003,100
2017-06-13 19:00:00,98.1530405,23.57166666666667,47.1325,1011.5833333333334,48.91083333333333,129.41755,-147.1547245,19,1,6,174.118095489748,100
2017-06-13 20:00:00,106.874031,22.25833333333333,50.54416666666666,1012.0,2.022083333333333,98.1530405,-31.264509500000003,20,1,6,150.0,100
2017-06-13 21:00:00,96.893825,21.7025,47.3625,1012.75,1.107,106.874031,8.7209905,21,1,6,129.28932188134524,100
2017-06-13 22:00:00,95.2836985,21.53916666666667,44.830000000000005,1013.0,0.9801666666666669,96.893825,-9.980205999999995,22,1,6,113.39745962155617,100
2017-06-13 23:00:00,96.3766355,21.483846153846155,44.41846153846154,1013.0,0.909076923076923,95.2836985,-1.610126500000007,23,1,6,103.40741737109319,100
2017-06-14 00:00:00,94.0456775,21.24833333333333,52.76499999999999,1013.0,1.2846666666666666,96.3766355,1.0929370000000063,0,2,6,100.0,100
2017-06-14 01:00:00,94.469349,20.99,58.615833333333335,1013.0,3.005333333333333,94.0456775,-2.3309580000000096,1,2,6,103.40741737109317,100
2017-06-14 02:00:00,95.2408725,20.684166666666663,60.5125,1012.9166666666666,2.19375,94.469349,0.42367149999999754,2,2,6,113.39745962155612,100
2017-06-14 03:00:00,98.1866895,20.00583333333333,59.43833333333333,1013.0,2.6065,95.2408725,0.7715235000000007,3,2,6,129.28932188134524,100
2017-06-14 04:00:00,94.280565,19.515833333333333,60.098333333333336,1013.0,2.1499166666666665,98.1866895,2.9458170000000052,4,2,6,150.0,100
2017-06-14 05:00:00,95.5236115,18.4825,71.6225,1013.0,26.52591666666667,94.280565,-3.906124500000004,5,2,6,174.11809548974793,100
2017-06-14 06:00:00,99.3010395,19.3825,72.0425,1013.9166666666666,165.45000000000002,95.5236115,1.2430465000000055,6,2,6,200.0,100
2017-06-14 07:00:00,130.9337215,21.26,59.14333333333334,1014.25,352.44166666666666,99.3010395,3.7774280000000005,7,2,6,225.88190451025207,100
2017-06-14 08:00:00,483.9519355,21.718333333333334,55.44166666666666,1015.0,538.125,130.9337215,31.63268199999999,8,2,6,249.99999999999997,100
2017-06-14 09:00:00,352.058999,21.555,56.86666666666667,1015.0,708.5166666666668,483.9519355,353.018214,9,2,6,270.71067811865476,400
2017-06-14 10:00:00,392.2986145,22.28833333333333,53.70916666666667,1015.0,844.9166666666666,352.058999,-131.89293650000002,10,2,6,286.6025403784439,400
