Date,Power (kW),Temperature (ºC),Humidity (%),Pressure (mbar),Radiance (W/m^2)
2018-05-13 09:00:00,102.2143,13.615,47.21333333333333,1027.0,780.2333333333332
2018-05-13 10:00:00,102.8261,14.495833333333332,44.26583333333334,1027.0,833.9083333333333
2018-05-13 11:00:00,103.669073,15.150833333333333,42.05916666666666,1026.1666666666667,735.1416666666668
2018-05-13 12:00:00,105.90695,15.765833333333333,39.5525,1026.0,934.4333333333334
2018-05-13 13:00:00,102.275917,16.025000000000002,39.88583333333333,1025.4166666666667,749.225
2018-05-13 14:00:00,105.4081145,16.223333333333333,40.35666666666667,1025.0,777.6916666666666
2018-05-13 15:00:00,109.008339,16.358333333333334,38.92166666666667,1025.0,747.1833333333334
2018-05-13 16:00:00,108.7948645,15.825000000000001,42.49666666666666,1025.0,576.3166666666667
2018-05-13 17:00:00,106.1837895,15.44,47.098333333333336,1025.0,389.93333333333334
2018-05-13 18:00:00,104.9003205,14.665833333333333,51.95416666666667,1025.0,170.18333333333334
2018-05-13 19:00:00,106.4569145,13.657499999999999,54.475833333333334,1025.0,22.5855
2018-05-13 20:00:00,101.3689235,12.6025,62.69916666666666,1025.25,1.9614166666666666
2018-05-13 21:00:00,102.2726395,12.167499999999999,67.9775,1026.0,3.3324166666666666
2018-05-13 22:00:00,104.9199855,11.939166666666667,68.1525,1025.6666666666667,3.7064166666666662
2018-05-13 23:00:00,101.3024995,11.804166666666667,66.9575,1025.75,3.7368333333333332
2018-05-14 00:00:00,102.0720565,11.6275,68.76166666666667,1025.1666666666667,3.436666666666667
2018-05-14 01:00:00,99.5632395,11.4425,71.21333333333332,1024.6666666666667,4.664166666666667
2018-05-14 02:00:00,100.774385,11.455833333333333,70.13833333333334,1024.0,3.51925
2018-05-14 03:00:00,97.974526,11.464166666666666,70.36583333333333,1024.0,3.4203333333333332
2018-05-14 04:00:00,96.9775105,11.399166666666666,73.475,1024.0,4.071000000000001
